,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



14/01/2010 7.00,,,"38,90000153",
14/01/2010 8.00,,,"38,90000153",
14/01/2010 9.00,,,"38,90000153",
14/01/2010 10.00,,,"38,90000153",
14/01/2010 11.00,"0,37947728","16,13773697","38,90000153","21,96815344"
14/01/2010 12.00,"0,51618954","12,05074328","38,90000153","17,46246617"
14/01/2010 13.00,"1,00909689","13,13576122","38,90000153","18,90989032"
14/01/2010 14.00,"0,66198259","14,91644314","38,90000153","20,72175888"
14/01/2010 15.00,"0,47757913","13,25386737","38,90000153","17,79449262"
14/01/2010 16.00,"0,8654731","16,67505486","38,90000153","21,02005"
14/01/2010 17.00,"0,90315804","17,41873682","38,90000153","21,97851648"
14/01/2010 18.00,"0,24247721","23,22930864","38,90000153","28,88490904"
14/01/2010 19.00,"0,85092593","31,66677344","38,90000153","39,92087744"
14/01/2010 20.00,"0,81896773","25,00219152","38,90000153","32,498264"
14/01/2010 21.00,"1,42811005","24,46358112","38,90000153","33,5916412"
14/01/2010 22.00,"0,78151467","32,53895136","38,90000153","44,40709864"
14/01/2010 23.00,"0,7335621","37,29564408","38,90000153","48,34342864"
15/01/2010 0.00,"0,31240918","29,73033808","38,90000153","39,23993776"
15/01/2010 1.00,"0,42280148","25,35132272","35,20000076","33,88215048"
15/01/2010 2.00,"0,40192043","17,50698709","35,20000076","24,52447832"
15/01/2010 3.00,"0,19400495","19,15657656","35,20000076","26,68134816"
15/01/2010 4.00,"0,2926265","15,70684674","35,20000076","23,47004856"
15/01/2010 5.00,"0,02790953","11,38103851","35,20000076","18,88913938"
15/01/2010 6.00,"0,11895341","9,60684974","35,20000076","16,6661239"
15/01/2010 7.00,"0,15892252","24,57520368","35,20000076","35,71866472"
15/01/2010 8.00,"0,0583636","25,78221104","35,20000076","41,88448232"
15/01/2010 9.00,"0,20059918","26,07034944","35,20000076","38,4215444"
15/01/2010 10.00,"0,5434909","28,77252168","35,20000076","46,51987776"
15/01/2010 11.00,"0,44773222","21,58231184","35,20000076","32,69801064"
15/01/2010 12.00,"0,28742047","27,11902408","35,20000076","43,21775816"
15/01/2010 13.00,"0,33140979","14,90734967","35,20000076","21,10565024"
15/01/2010 14.00,"0,16999969","11,09160951","35,20000076","16,90606461"
15/01/2010 15.00,"0,40021391","7,10195574","35,20000076","10,98018771"
15/01/2010 16.00,"0,12803522","9,06693535","35,20000076","13,02810988"
15/01/2010 17.00,"0,30306702","10,41022625","35,20000076","14,89964431"
15/01/2010 18.00,"0,20490821","8,9319558","35,20000076","13,45481474"
15/01/2010 19.00,"0,13908289","9,94299846","35,20000076","14,81923324"
15/01/2010 20.00,"0,23180481","9,09419091","35,20000076","14,30044263"
15/01/2010 21.00,"0,34147504","12,61791322","35,20000076","18,81261732"
15/01/2010 22.00,"0,48368113","16,92813865","35,20000076","23,41557568"
15/01/2010 23.00,"0,31391332","12,79312317","35,20000076","18,34700517"
16/01/2010 0.00,"0,06316384","8,4854885","35,20000076","13,73107006"
16/01/2010 1.00,,"8,11948773","27,7999897","13,10203736"
16/01/2010 2.00,"0,22468276",,"27,7999897",
16/01/2010 3.00,"0,15301375","7,88976475","27,7999897","13,0190317"
16/01/2010 4.00,"0,21536602","6,79955191","27,7999897","11,87120839"
