, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
21/01/2008 1.00,"0,210657","10,960522"
21/01/2008 2.00,"0,137403","10,125997"
21/01/2008 3.00,"0,221173","10,199975"
21/01/2008 4.00,"0,158796","10,406332"
21/01/2008 5.00,"0,242416","11,849563"
21/01/2008 6.00,"0,151766","19,275981"
21/01/2008 7.00,"0,205669","24,483045"
21/01/2008 8.00,"0,237819","25,78871"
21/01/2008 9.00,"0,216186","20,985289"
21/01/2008 10.00,"0,214684","18,092335"
21/01/2008 11.00,"0,113907","16,791866"
21/01/2008 12.00,"0,113395","14,930714"
21/01/2008 13.00,"0,174722","15,719826"
21/01/2008 14.00,"0,187461","16,590697"
21/01/2008 15.00,"0,162222","17,247424"
21/01/2008 16.00,"0,232861","15,396656"
21/01/2008 17.00,"0,171776","25,438279"
21/01/2008 18.00,"0,18043","29,971746"
21/01/2008 19.00,"0,197887","26,485655"
21/01/2008 20.00,"0,244279","21,562828"
21/01/2008 21.00,"0,256598","21,688733"
21/01/2008 22.00,"0,152967","12,088377"
21/01/2008 23.00,"0,156123","10,963117"
22/01/2008 0.00,"0,097562","10,12989"
22/01/2008 1.00,,"11,125358"
22/01/2008 2.00,"0,310601",
22/01/2008 3.00,"0,395359","13,516037"
22/01/2008 4.00,"0,435917","13,012458"
22/01/2008 5.00,"0,441919","16,301268"
22/01/2008 6.00,"0,391387","21,691334"
22/01/2008 7.00,"0,687085","41,995245"
22/01/2008 8.00,"0,573387","30,847826"
22/01/2008 9.00,"0,404258","22,397358"
22/01/2008 10.00,"0,605492","16,141631"
22/01/2008 11.00,"0,422178","15,000798"
22/01/2008 12.00,"0,597131","15,721117"
22/01/2008 13.00,"0,520674","15,287635"
22/01/2008 14.00,"0,394344","14,033885"
22/01/2008 15.00,"0,651127","14,284376"
22/01/2008 16.00,"0,610182","15,970308"
22/01/2008 17.00,"0,548001","18,386953"
22/01/2008 18.00,"0,624397","20,333757"
22/01/2008 19.00,"0,516852","22,528444"
22/01/2008 20.00,"0,616662","25,142359"
22/01/2008 21.00,"0,667434","28,868561"
22/01/2008 22.00,"0,677618","27,218963"
22/01/2008 23.00,"0,607613","25,797793"
23/01/2008 0.00,"0,406827","17,007306"
23/01/2008 1.00,"0,328849","14,188334"
23/01/2008 2.00,"0,404379","9,940404"
23/01/2008 3.00,"0,390222","7,749594"
23/01/2008 4.00,"0,358864","9,493934"
23/01/2008 5.00,"0,398406","12,564695"
23/01/2008 6.00,"0,317231","12,406357"
23/01/2008 7.00,"0,436992","15,266865"
23/01/2008 8.00,"0,303344","13,028031"
23/01/2008 9.00,"0,301552","11,580904"
23/01/2008 10.00,"0,280736","11,461509"
