, Brindisi,,,,
,Torchiarolo,,,,
Parm,SO2,NOX,NO2,CO,PM10
,,,,
,,,,,
,,,,
,,,,,
,,,,,
11/01/2007 4.00,"1,80927453","8,35122022","18,59849626","1,07396899","85,65486145"
11/01/2007 5.00,"1,28117084","8,84796164","18,04431454","1,01696826","85,65486145"
11/01/2007 6.00,"1,48635465","11,72076076","19,86522112","0,93411384","85,65486145"
11/01/2007 7.00,"1,53306445","24,80722488","28,35719704","1,03662453","85,65486145"
11/01/2007 8.00,"1,67158188","71,58648456","44,12115904","1,34566565","85,65486145"
11/01/2007 9.00,"2,38818754","99,56871928","54,62352648","1,75094062","85,65486145"
11/01/2007 10.00,"2,55647867","46,94527864","41,982262","1,21771709","85,65486145"
11/01/2007 11.00,"2,31551577","32,6694836","30,11841672","0,99432774","85,65486145"
11/01/2007 12.00,"2,244758","44,34742512","33,95362104","0,99447958","85,65486145"
11/01/2007 13.00,"1,67703097","52,72200424","41,54487288","0,84150896","85,65486145"
11/01/2007 14.00,"1,11391298","42,02067408","29,41107232","0,5617239","85,65486145"
11/01/2007 15.00,"1,31631124","43,5069864","28,69984656","0,58803194","85,65486145"
11/01/2007 16.00,"3,86264533","50,10600584","34,8608268","0,69292301","85,65486145"
11/01/2007 17.00,"3,97738937","53,79071664","39,64088416","0,93558902","85,65486145"
11/01/2007 18.00,"2,94278205","62,59329696","48,94924584","1,64684379","85,65486145"
11/01/2007 19.00,"2,80317744","75,14540488","53,47231128","1,7812549","85,65486145"
11/01/2007 20.00,"3,38207011","69,93155296","47,33209536","1,28393918","85,65486145"
11/01/2007 21.00,"2,57339443","91,76353376","52,91553688","2,15799213","85,65486145"
11/01/2007 22.00,"2,2898294","100,5829588","58,83512712","2,51261795","85,65486145"
11/01/2007 23.00,"2,42968928","84,3694856","50,00440216","2,26246856","85,65486145"
12/01/2007 0.00,"2,38406055","69,23898832","44,35606736","1,90969402","85,65486145"
12/01/2007 1.00,"1,77970932","56,92679816","34,9010744","1,46359627","49,06105042"
12/01/2007 2.00,"0,70259852",,,"1,08814384","49,06105042"
12/01/2007 3.00,"2,18735852","47,50557112","27,32278592",,"49,06105042"
12/01/2007 4.00,"2,89114794","40,93379768","21,64848616","0,73815381","49,06105042"
12/01/2007 5.00,"2,10969429","39,60828456","21,31233744","0,66063598","49,06105042"
12/01/2007 6.00,"1,71966767","41,93247352","23,38376","0,67612483","49,06105042"
12/01/2007 7.00,"1,9674465","62,4869324","37,47994176","0,81149954","49,06105042"
12/01/2007 8.00,"1,69766996","91,66236984","43,83820216","1,27676066","49,06105042"
12/01/2007 9.00,"1,6709371","108,59697296","55,02326832","1,45315085","49,06105042"
12/01/2007 10.00,"2,44364658","78,24645856","50,27045696","1,11901642","49,06105042"
12/01/2007 11.00,"2,40511042","81,66786784","48,57284952","1,14089539","49,06105042"
12/01/2007 12.00,"2,50415808","68,263658","44,985536","0,7785304","49,06105042"
12/01/2007 13.00,"1,91915833","69,62159864","36,73625024","0,46661483","49,06105042"
12/01/2007 14.00,"3,01558603","47,560044","28,44545496","0,3779683","49,06105042"
12/01/2007 15.00,,"45,56919312","26,47917328","0,20928574","49,06105042"
12/01/2007 16.00,,"41,74180888","23,44085232","0,32695357","49,06105042"
12/01/2007 17.00,0,"45,17360032","25,75366488","0,35950923","49,06105042"
12/01/2007 18.00,"0,40732579","45,89993088","27,70436376","0,37920872","49,06105042"
12/01/2007 19.00,"0,3769897","42,68213048","25,1254964","0,3472172","49,06105042"
12/01/2007 20.00,"0,50404147","44,99073664","27,72512808","0,42608757","49,06105042"
12/01/2007 21.00,"0,980986","41,50317216","24,68940744","0,3516521","49,06105042"
12/01/2007 22.00,"0,78689155","36,43849448","19,12412992","0,1534203","49,06105042"
12/01/2007 23.00,"2,48824","32,90163864","15,3460313","0,06154192","49,06105042"
13/01/2007 0.00,"0,79021409","29,5087564","11,75092638","0,00461126","49,06105042"
13/01/2007 1.00,"0,49996127","29,25843736","9,58997634","0,00478763","62,44036102"
13/01/2007 2.00,"0,02506702","31,63577992","9,33299971","0,00122874","62,44036102"
13/01/2007 3.00,"1,84141783","28,44782584","7,9079364","0,00155344","62,44036102"
13/01/2007 4.00,"4,12476386","28,66571736","8,06108378",0,"62,44036102"
13/01/2007 5.00,"10,63816578","29,74869328","8,27912634",0,"62,44036102"
13/01/2007 6.00,"4,49564443","29,90302992","7,8741896","0,00152891","62,44036102"
13/01/2007 7.00,"2,81141412","31,53723544","9,24085087","0,00904733","62,44036102"
13/01/2007 8.00,0,"31,59558968","9,10846782","0,00556318","62,44036102"
13/01/2007 9.00,0,"33,90679616","10,04163662","0,00577693","62,44036102"
13/01/2007 10.00,0,"34,6058616","10,62308347","0,02710461","62,44036102"
13/01/2007 11.00,"0,01096733","32,94962984","9,2135934","0,01409776","62,44036102"
13/01/2007 12.00,0,"33,80433208","11,13054548","0,01660429","62,44036102"
13/01/2007 13.00,0,"35,36200024","12,30901433","0,0188597","62,44036102"
13/01/2007 14.00,0,"35,24917312","11,63412422","0,00967338","62,44036102"
13/01/2007 15.00,0,"34,08447832","10,6101029","0,03428547","62,44036102"
13/01/2007 16.00,0,"36,70955872","13,58222278","0,0956884","62,44036102"
13/01/2007 17.00,"9,73703361","49,80379512","27,599242","0,3084945","62,44036102"
13/01/2007 18.00,"8,99002677","62,37410528","40,45985112","0,86285299","62,44036102"
13/01/2007 19.00,"7,19307726","79,37872584","54,31204256","1,00360283","62,44036102"
13/01/2007 20.00,"3,53908678","92,86079232","60,776744","1,69679565","62,44036102"
13/01/2007 21.00,"2,00850991","136,51563368","73,10004288","2,89197618","62,44036102"
13/01/2007 22.00,"4,9507499","102,22882752","61,76442584","2,22318288","62,44036102"
13/01/2007 23.00,"4,10164236","98,18613296","55,0271688","2,17833402","62,44036102"
14/01/2007 0.00,"4,67751047","89,7415364","49,01542016","2,18359702","62,44036102"
14/01/2007 1.00,,"63,93047328","40,6688136","1,81529042","99,81562042"
14/01/2007 2.00,"0,33532626",,,"1,32108275","99,81562042"
14/01/2007 3.00,"1,82526075","56,15769616","39,09579208",,"99,81562042"
14/01/2007 4.00,"0,31107996","43,8130976","30,60641648","0,9345752","99,81562042"
14/01/2007 5.00,"0,00701832","35,88208336","24,81399336","0,80990638","99,81562042"
14/01/2007 6.00,"0,01871483","36,76923224","25,71341728","0,71997272","99,81562042"
14/01/2007 7.00,"0,05807375","64,00569136","36,07433496","1,02036363","99,81562042"
14/01/2007 8.00,0,"54,09808976","34,11455408","1,1591851","99,81562042"
14/01/2007 9.00,"0,06850817","55,61556768","38,72589656","1,25562453","99,81562042"
14/01/2007 10.00,"6,20682422","112,10010112","66,79497432","2,08557963","99,81562042"
14/01/2007 11.00,"0,70650787","70,02883552","54,565134","1,18863038","99,81562042"
