, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



18/01/2007 21.00,"1,36376751","57,50395448","44,91544208"
18/01/2007 22.00,"1,09385164","53,6662072","40,73370688"
18/01/2007 23.00,"0,86636908","38,5356908","27,91332624"
19/01/2007 0.00,"0,79693137","31,3284068","21,80553784"
19/01/2007 1.00,"0,57823162","23,19120248","14,13901056"
19/01/2007 2.00,"0,52345295","19,04736886","10,43618547"
19/01/2007 3.00,"0,59081395","14,95152452","6,66587061"
19/01/2007 4.00,"0,45858564","14,62727991","6,02472347"
19/01/2007 5.00,"0,53935883","14,46904853","5,51465923"
19/01/2007 6.00,"0,53401755","17,10579978","7,51727656"
19/01/2007 7.00,"0,54648088","22,7476376","13,18897026"
19/01/2007 8.00,"0,91901103","39,57847648","27,76277536"
19/01/2007 9.00,"0,81443903","40,70424296","28,13267088"
19/01/2007 10.00,"0,351224","24,96286168","15,32916555"
19/01/2007 11.00,"0,34796045","22,69704608","12,88396802"
19/01/2007 12.00,"0,38730818","21,11085088","11,61855098"
19/01/2007 13.00,"0,25953026","21,30669704","12,01570014"
19/01/2007 14.00,"0,22421799","22,41429952","12,95665653"
19/01/2007 15.00,"0,45312537","18,97733421","10,99037867"
19/01/2007 16.00,"0,39276845","21,60758848","14,18703235"
19/01/2007 17.00,"0,48600396","30,46852304","22,36751288"
19/01/2007 18.00,"0,687492","48,11513584","38,72071504"
