,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
08/01/2009 23.00,"2,815661","53,939851","44,620838","0,906407","25,377457","1065,826464","43,973366","34,749691","4,015116","20,59421"
09/01/2009 0.00,"2,886097","103,530992","64,653495","1,163463","13,13356","1062,134835","67,802398","34,749691","3,086595","20,59421"
09/01/2009 1.00,"2,763284","49,70135","44,08741","0,852147","24,513542","1076,737816","32,799776","22,03146","3,89155","13,93922"
09/01/2009 2.00,"2,600738","20,129037","20,332455","0,728827","39,439952","1178,017325","22,436865","22,03146","2,414866","13,93922"
09/01/2009 3.00,"2,58629","15,002106","16,455716","0,764304","41,901743","1000,426655","26,267725","22,03146","1,813311","13,93922"
09/01/2009 4.00,"2,607962","14,878893","16,141631","0,761975","42,440672","993,130548","27,264482","22,03146","1,953148","13,93922"
09/01/2009 5.00,"2,618799","15,238156","16,194841","0,768723","42,794087","986,126515","26,613273","22,03146","1,960776","13,93922"
09/01/2009 6.00,"2,584484","17,903437","18,747758","0,777918","45,815115","977,371652","27,314325","22,03146","2,113834","13,93922"
09/01/2009 7.00,"2,738","39,722429","35,790114","0,884348","35,996442","973,132183","38,65071","22,03146","2,195703","13,93922"
09/01/2009 8.00,"2,761478","51,728528","42,41965","0,903488","31,496701","973,238533","33,371254","22,03146","2,783529","13,93922"
09/01/2009 9.00,"2,765091","64,898002","51,239974","1,020295","31,978775","975,647321","44,039809","22,03146","2,788614","13,93922"
