,Regione Puglia,,,,,,
,ARNESANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


16/01/2007 16.00,"1,82916908","15,92228707",,,,"38,16577148",
16/01/2007 17.00,"1,42129004","21,32662008",,,,"38,16577148",
16/01/2007 18.00,"1,49997127","23,83023112",,,,"38,16577148",
16/01/2007 19.00,"1,60343068","25,71083608",,,,"38,16577148",
16/01/2007 20.00,"1,64882447","28,820532",,,,"38,16577148",
16/01/2007 21.00,"1,65336334","27,3111036",,,,"38,16577148",
16/01/2007 22.00,"1,61222569","21,83798448",,,,"38,16577148",
16/01/2007 23.00,"1,79323237","12,00531416",,,,"38,16577148",
17/01/2007 0.00,"1,4135344","10,1234033",,,,"38,16577148",
17/01/2007 1.00,"1,43566432","7,63927554",,,,"60,4405098",
17/01/2007 2.00,"1,06466679","6,90078658",,,,"60,4405098",
17/01/2007 3.00,"1,44899821","6,43874222",,,,"60,4405098",
17/01/2007 4.00,"1,28567615","6,16099936",,,,"60,4405098",
17/01/2007 5.00,"1,36511503","7,10974332",,,,"60,4405098",
17/01/2007 6.00,"1,3860154","9,32910497",,,,"60,4405098",
17/01/2007 7.00,"1,61336066","16,15461037",,,,"60,4405098",
17/01/2007 8.00,"1,72429096","33,26055928",,,,"60,4405098",
