Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
18/01/2014 11.00,"1,7",,,"20,2",,,
18/01/2014 12.00,"2,6",,,"20,2",,,
18/01/2014 13.00,"1,9",,,"20,2",,,
18/01/2014 14.00,"2,0",,,"20,2",,,
18/01/2014 15.00,"2,0",,,"20,2",,,
18/01/2014 16.00,"2,0",,,"20,2",,,
18/01/2014 17.00,"2,3",,,"20,2",,,
18/01/2014 18.00,"1,8",,,"20,2",,,
18/01/2014 19.00,"2,0",,,"20,2",,,
18/01/2014 20.00,"2,3",,,"20,2",,,
18/01/2014 21.00,"2,3",,,"20,2",,,
18/01/2014 22.00,"2,1",,,"20,2",,,
18/01/2014 23.00,"2,5",,,"20,2",,,
19/01/2014 0.00,"1,7",,,"20,2",,,
19/01/2014 1.00,"1,9",,,"59,3",,,
19/01/2014 2.00,"2,7",,,"59,3",,,
19/01/2014 3.00,"2,3",,,"59,3",,,
19/01/2014 4.00,"2,3",,,"59,3",,,
19/01/2014 5.00,"2,6",,,"59,3",,,
19/01/2014 6.00,"2,8",,,"59,3",,,
19/01/2014 7.00,"2,1",,,"59,3",,,
