Stat,MOLFETTA VERDI,,,
05/10/2014 14.00,"6,0","21,2","28,1","16,9"
05/10/2014 15.00,"5,2","20,7","27,9","16,9"
05/10/2014 16.00,"2,7","18,9","25,9","16,9"
05/10/2014 17.00,"2,9","18,5","24,8","16,9"
05/10/2014 18.00,"5,7","13,2","19,3","16,9"
05/10/2014 19.00,"5,7","12,3","18,0","16,9"
05/10/2014 20.00,"5,5","12,7","18,8","16,9"
05/10/2014 21.00,"5,2","20,7","27,4","16,9"
05/10/2014 22.00,"5,3","31,7","42,7","16,9"
05/10/2014 23.00,"5,7","37,1","52,3","16,9"
06/10/2014 0.00,"6,4","37,4","51,5","16,9"
06/10/2014 1.00,"3,9","34,2","46,6","14,5"
06/10/2014 2.00,"4,9","31,6","44,9","14,5"
06/10/2014 3.00,"6,1","25,4","33,9","14,5"
06/10/2014 4.00,"5,8","18,9","26,4","14,5"
06/10/2014 5.00,"6,2","16,5","24,0","14,5"
06/10/2014 6.00,"4,7","12,1","18,9","14,5"
06/10/2014 7.00,"3,9","8,2","14,8","14,5"
06/10/2014 8.00,"4,4","7,6","14,0","14,5"
06/10/2014 9.00,"5,6","9,4","16,2","14,5"
06/10/2014 10.00,"5,8","16,7","23,5","14,5"
06/10/2014 11.00,"5,4","9,3","13,4","14,5"
06/10/2014 12.00,"6,0",,,"14,5"
06/10/2014 13.00,,"19,3","23,5","14,5"
06/10/2014 14.00,,"4,8","7,8","14,5"
06/10/2014 15.00,"1,3","13,3","22,6","14,5"
06/10/2014 16.00,,,,"14,5"
06/10/2014 17.00,"1,1","11,6","18,1","14,5"
06/10/2014 18.00,"0,9","6,4","13,5","14,5"
06/10/2014 19.00,"0,6","7,1","15,5","14,5"
06/10/2014 20.00,"0,5","11,2","20,6","14,5"
06/10/2014 21.00,"0,2","16,3","26,8","14,5"
06/10/2014 22.00,"0,5","24,8","38,5","14,5"
06/10/2014 23.00,"0,8","31,3","49,1","14,5"
07/10/2014 0.00,"0,6","26,9","41,2","14,5"
07/10/2014 1.00,,"20,4","33,1","18,1"
07/10/2014 2.00,"0,9",,,"18,1"
07/10/2014 3.00,"0,4","18,5","32,0","18,1"
07/10/2014 4.00,"0,1","11,5","24,2","18,1"
07/10/2014 5.00,"0,1","6,0","18,4","18,1"
07/10/2014 6.00,"0,2","3,2","15,8","18,1"
07/10/2014 7.00,"0,1","3,7","16,5","18,1"
07/10/2014 8.00,"0,2","6,4","20,1","18,1"
07/10/2014 9.00,"0,6","13,1","31,3","18,1"
07/10/2014 10.00,"1,4","21,5","57,7","18,1"
07/10/2014 11.00,"1,4","25,2","70,9","18,1"
07/10/2014 12.00,"1,0","28,9","63,6","18,1"
07/10/2014 13.00,"0,6","30,0","50,9","18,1"
07/10/2014 14.00,"0,4","24,0","43,0","18,1"
07/10/2014 15.00,"0,1","19,0","34,5","18,1"
07/10/2014 16.00,"0,1","14,7","28,6","18,1"
07/10/2014 17.00,"0,1","10,0","23,5","18,1"
07/10/2014 18.00,"0,4","10,7","24,5","18,1"
07/10/2014 19.00,"0,2","13,8","28,2","18,1"
07/10/2014 20.00,"0,1","23,9","39,1","18,1"
07/10/2014 21.00,"0,2","37,2","59,5","18,1"
07/10/2014 22.00,"1,2","38,8","75,2","18,1"
07/10/2014 23.00,"1,0","34,5","73,1","18,1"
08/10/2014 0.00,"1,1","29,1","60,5","18,1"
08/10/2014 1.00,"0,1","27,7","56,1","19,7"
08/10/2014 2.00,"0,6","26,7","56,0","19,7"
08/10/2014 3.00,"0,1","23,3","44,6","19,7"
08/10/2014 4.00,"0,1","16,2","32,6","19,7"
08/10/2014 5.00,"0,1","12,6","28,8","19,7"
08/10/2014 6.00,"0,1","10,0","26,1","19,7"
08/10/2014 7.00,"0,1","9,9","26,4","19,7"
08/10/2014 8.00,"0,2","14,1","34,5","19,7"
08/10/2014 9.00,"0,5","18,2","48,1","19,7"
08/10/2014 10.00,"1,4","23,5","77,8","19,7"
08/10/2014 11.00,"1,0","27,2","79,1","19,7"
08/10/2014 12.00,"0,2","27,1","53,2","19,7"
08/10/2014 13.00,"0,2","21,1","39,5","19,7"
08/10/2014 14.00,"0,9","21,3","39,0","19,7"
08/10/2014 15.00,"0,7","17,7","33,3","19,7"
08/10/2014 16.00,"1,0","11,8","26,9","19,7"
08/10/2014 17.00,"0,2","7,8","22,7","19,7"
08/10/2014 18.00,"0,3","8,3","23,2","19,7"
08/10/2014 19.00,"0,4","9,5","24,4","19,7"
08/10/2014 20.00,"0,1","14,4","29,8","19,7"
08/10/2014 21.00,"0,1","25,6","42,4","19,7"
08/10/2014 22.00,"0,3","35,8","59,7","19,7"
08/10/2014 23.00,"0,4","35,8","63,3","19,7"
09/10/2014 0.00,"0,2","30,8","52,9","19,7"
09/10/2014 1.00,,"24,4","42,9","21,1"
09/10/2014 2.00,"0,9",,,"21,1"
09/10/2014 3.00,"0,7","27,8","45,7","21,1"
09/10/2014 4.00,"0,4","21,3","38,5","21,1"
09/10/2014 5.00,"0,1","14,3","30,4","21,1"
09/10/2014 6.00,"0,2","11,0","27,4","21,1"
09/10/2014 7.00,"0,6","11,3","27,8","21,1"
09/10/2014 8.00,"0,5","14,2","31,4","21,1"
09/10/2014 9.00,"0,4","23,2","47,7","21,1"
09/10/2014 10.00,"1,6","35,2","100,3","21,1"
09/10/2014 11.00,"1,6","40,4","104,2","21,1"
09/10/2014 12.00,"0,7","40,2","77,0","21,1"
09/10/2014 13.00,"0,8","39,2","65,6","21,1"
09/10/2014 14.00,"0,5","30,0","49,2","21,1"
09/10/2014 15.00,"0,8","20,8","36,6","21,1"
09/10/2014 16.00,"0,9","13,0","28,7","21,1"
09/10/2014 17.00,"0,8","8,0","23,2","21,1"
09/10/2014 18.00,"0,4","7,1","22,2","21,1"
09/10/2014 19.00,"1,0","9,8","25,1","21,1"
09/10/2014 20.00,"0,1","19,1","35,7","21,1"
09/10/2014 21.00,"0,3","32,3","52,1","21,1"
09/10/2014 22.00,"0,3","36,7","57,6","21,1"
09/10/2014 23.00,"0,9","34,5","53,3","21,1"
10/10/2014 0.00,"0,2","25,6","42,1","21,1"
10/10/2014 1.00,"0,2","17,1","33,3","24,3"
10/10/2014 2.00,"0,6","19,3","35,7","24,3"
10/10/2014 3.00,"0,1","23,1","40,0","24,3"
10/10/2014 4.00,"0,2","14,3","30,7","24,3"
10/10/2014 5.00,"0,2","8,9","25,0","24,3"
10/10/2014 6.00,"0,1","8,4","24,5","24,3"
10/10/2014 7.00,"0,1","9,6","25,8","24,3"
10/10/2014 8.00,"0,1","14,7","32,1","24,3"
10/10/2014 9.00,"0,8","22,9","45,6","24,3"
10/10/2014 10.00,"2,4","36,6","106,8","24,3"
10/10/2014 11.00,"3,1","47,1","134,8","24,3"
10/10/2014 12.00,"2,3","49,3","110,6","24,3"
10/10/2014 13.00,"0,9","38,5","74,7","24,3"
10/10/2014 14.00,"1,1","39,9","72,4","24,3"
10/10/2014 15.00,"1,1","24,4","44,3","24,3"
10/10/2014 16.00,"1,4","23,3","39,9","24,3"
10/10/2014 17.00,"1,1","14,3","30,0","24,3"
10/10/2014 18.00,"0,8","9,6","25,3","24,3"
10/10/2014 19.00,"0,5","10,0","26,0","24,3"
10/10/2014 20.00,"0,4","17,0","33,2","24,3"
10/10/2014 21.00,"0,9","27,5","44,2","24,3"
10/10/2014 22.00,"1,0","40,0","61,8","24,3"
10/10/2014 23.00,"1,3","37,2","65,3","24,3"
11/10/2014 0.00,"1,3","32,0","57,5","24,3"
11/10/2014 1.00,,"31,1","53,3","21,5"
11/10/2014 2.00,"1,3",,,"21,5"
11/10/2014 3.00,"0,9","35,4","54,3","21,5"
11/10/2014 4.00,"0,1","25,1","41,8","21,5"
11/10/2014 5.00,"0,9","18,6","35,3","21,5"
11/10/2014 6.00,"0,7","13,8","30,7","21,5"
11/10/2014 7.00,"0,5","12,6","29,3","21,5"
11/10/2014 8.00,"0,7","15,5","32,7","21,5"
11/10/2014 9.00,"1,1","22,1","41,3","21,5"
11/10/2014 10.00,"1,3","29,8","58,7","21,5"
11/10/2014 11.00,"1,4","31,8","56,5","21,5"
11/10/2014 12.00,"1,0","35,0","59,5","21,5"
11/10/2014 13.00,"0,9","34,1","59,7","21,5"
11/10/2014 14.00,"0,9","31,8","56,1","21,5"
11/10/2014 15.00,"1,0","23,2","42,2","21,5"
11/10/2014 16.00,"1,3","14,7","31,3","21,5"
11/10/2014 17.00,"1,3","15,8","32,5","21,5"
11/10/2014 18.00,"1,3","11,1","27,0","21,5"
11/10/2014 19.00,"1,3","12,4","28,2","21,5"
11/10/2014 20.00,"1,4","25,1","44,0","21,5"
11/10/2014 21.00,"1,5","35,4","58,6","21,5"
11/10/2014 22.00,"1,3","34,0","57,3","21,5"
11/10/2014 23.00,"1,4","31,9","51,4","21,5"
12/10/2014 0.00,"1,3","32,8","52,7","21,5"
12/10/2014 1.00,"1,3","29,0","47,7","34,7"
12/10/2014 2.00,"1,4","32,7","52,3","34,7"
12/10/2014 3.00,"1,3","35,6","58,2","34,7"
12/10/2014 4.00,"1,5","30,7","50,0","34,7"
12/10/2014 5.00,"0,8","22,8","39,9","34,7"
12/10/2014 6.00,"1,3","18,1","35,2","34,7"
12/10/2014 7.00,"1,2","16,0","33,5","34,7"
12/10/2014 8.00,"1,4","14,8","32,3","34,7"
12/10/2014 9.00,"1,1","15,0","32,4","34,7"
12/10/2014 10.00,"0,9","18,6","36,3","34,7"
12/10/2014 11.00,"1,3","24,7","46,0","34,7"
12/10/2014 12.00,"1,3","27,8","49,0","34,7"
12/10/2014 13.00,"1,0","16,6","33,5","34,7"
12/10/2014 14.00,"1,0","11,1","26,5","34,7"
12/10/2014 15.00,"1,1","9,1","24,8","34,7"
12/10/2014 16.00,"2,0","7,8","23,2","34,7"
12/10/2014 17.00,"1,4","5,9","21,0","34,7"
12/10/2014 18.00,"1,4","5,3","20,5","34,7"
12/10/2014 19.00,"1,2","5,3","20,2","34,7"
12/10/2014 20.00,"1,1","6,6","21,6","34,7"
12/10/2014 21.00,"1,4","13,5","29,2","34,7"
12/10/2014 22.00,"1,5","29,6","47,4","34,7"
12/10/2014 23.00,"1,2","35,9","53,7","34,7"
13/10/2014 0.00,"1,4","35,3","53,5","34,7"
13/10/2014 1.00,,"33,0","51,3","40,3"
13/10/2014 2.00,"1,5",,,"40,3"
13/10/2014 3.00,"1,2","36,3","54,7","40,3"
13/10/2014 4.00,"1,5","25,6","42,9","40,3"
13/10/2014 5.00,"1,4","17,5","33,8","40,3"
13/10/2014 6.00,"1,5","12,1","28,2","40,3"
13/10/2014 7.00,"0,8","9,8","25,8","40,3"
13/10/2014 8.00,"1,0","11,3","27,3","40,3"
13/10/2014 9.00,"1,3","18,9","40,4","40,3"
13/10/2014 10.00,"1,6","27,8","71,9","40,3"
13/10/2014 11.00,"1,5","32,3","70,2","40,3"
13/10/2014 12.00,"1,3","35,3","61,9","40,3"
13/10/2014 13.00,"1,1","31,7","51,9","40,3"
13/10/2014 14.00,"1,3","29,5","47,5","40,3"
13/10/2014 15.00,"1,3","20,2","36,3","40,3"
13/10/2014 16.00,"1,6","13,8","29,8","40,3"
13/10/2014 17.00,"1,3","9,6","25,1","40,3"
13/10/2014 18.00,"1,5","10,4","25,8","40,3"
13/10/2014 19.00,"1,4","31,0","49,5","40,3"
13/10/2014 20.00,"2,3","58,7","91,0","40,3"
13/10/2014 21.00,"2,2","53,6","101,9","40,3"
13/10/2014 22.00,"4,4","54,0","114,9","40,3"
13/10/2014 23.00,"2,1","43,2","81,6","40,3"
14/10/2014 0.00,"1,5","31,6","54,4","40,3"
14/10/2014 1.00,"1,5","26,4","45,2","47,8"
14/10/2014 2.00,"1,4","16,5","33,1","47,8"
14/10/2014 3.00,"1,5","9,8","26,0","47,8"
14/10/2014 4.00,"1,5","5,2","21,0","47,8"
14/10/2014 5.00,"1,6","3,7","19,6","47,8"
14/10/2014 6.00,"1,5","3,9","19,6","47,8"
14/10/2014 7.00,"1,4","5,1","20,9","47,8"
14/10/2014 8.00,"1,5","10,8","27,8","47,8"
14/10/2014 9.00,"1,6","19,1","42,9","47,8"
14/10/2014 10.00,"2,6","26,1","63,8","47,8"
14/10/2014 11.00,"2,2","27,6","62,7","47,8"
14/10/2014 12.00,"3,2","33,9","82,3","47,8"
14/10/2014 13.00,"1,3","23,9","55,1","47,8"
14/10/2014 14.00,"2,2","32,9","71,0","47,8"
14/10/2014 15.00,"2,1","26,2","51,4","47,8"
14/10/2014 16.00,"2,3","22,5","41,1","47,8"
14/10/2014 17.00,"1,4","13,8","30,1","47,8"
14/10/2014 18.00,"1,5","15,2","32,0","47,8"
14/10/2014 19.00,"2,4","32,7","57,1","47,8"
14/10/2014 20.00,"2,4","29,9","56,7","47,8"
14/10/2014 21.00,"1,6","25,6","46,7","47,8"
14/10/2014 22.00,"1,8","20,8","39,7","47,8"
14/10/2014 23.00,"1,8","22,2","42,0","47,8"
15/10/2014 0.00,"1,8","14,5","32,6","47,8"
15/10/2014 1.00,,"13,0","30,8","46,8"
15/10/2014 2.00,"1,5",,,"46,8"
15/10/2014 3.00,"1,5","12,8","27,8","46,8"
15/10/2014 4.00,"1,5","3,7","18,7","46,8"
15/10/2014 5.00,"1,5","1,8","16,7","46,8"
15/10/2014 6.00,"1,6","1,2","15,7","46,8"
15/10/2014 7.00,"1,4","6,0","21,7","46,8"
15/10/2014 8.00,"1,5","9,7","25,2","46,8"
15/10/2014 9.00,"1,6","15,6","33,7","46,8"
15/10/2014 10.00,"1,6","23,3","46,2","46,8"
15/10/2014 11.00,"1,7","19,8","42,0","46,8"
15/10/2014 12.00,"1,6","12,9","34,2","46,8"
15/10/2014 13.00,"1,4","11,6","30,9","46,8"
15/10/2014 14.00,"1,3","10,4","29,7","46,8"
15/10/2014 15.00,"1,9","10,5","31,2","46,8"
15/10/2014 16.00,"1,5","7,7","25,3","46,8"
15/10/2014 17.00,"1,5","7,2","24,8","46,8"
15/10/2014 18.00,"2,0","9,3","28,3","46,8"
15/10/2014 19.00,"2,5","19,0","41,0","46,8"
15/10/2014 20.00,"3,1","39,5","75,0","46,8"
15/10/2014 21.00,"3,1","43,1","87,3","46,8"
15/10/2014 22.00,"2,9","40,8","79,3","46,8"
15/10/2014 23.00,"2,2","29,7","58,2","46,8"
16/10/2014 0.00,"1,5","14,6","32,6","46,8"
16/10/2014 1.00,"1,5","11,8","28,1","39,8"
16/10/2014 2.00,"1,5","8,2","24,3","39,8"
16/10/2014 3.00,"1,6","8,6","25,5","39,8"
16/10/2014 4.00,"1,5","4,7","20,1","39,8"
16/10/2014 5.00,"1,5","0,6","14,9","39,8"
16/10/2014 6.00,"1,5","0,2","14,0","39,8"
16/10/2014 7.00,"1,4","0,9","15,8","39,8"
16/10/2014 8.00,"1,5","5,9","21,8","39,8"
16/10/2014 9.00,"1,6","26,8","50,6","39,8"
16/10/2014 10.00,"1,8","37,4","75,2","39,8"
16/10/2014 11.00,"2,0","36,9","75,2","39,8"
16/10/2014 12.00,"1,8","33,9","68,0","39,8"
16/10/2014 13.00,"1,4","30,0","59,8","39,8"
16/10/2014 14.00,"1,2","27,5","54,0","39,8"
16/10/2014 15.00,"1,2","27,6","50,2","39,8"
16/10/2014 16.00,"1,4","20,1","37,8","39,8"
16/10/2014 17.00,"1,3","18,3","36,3","39,8"
16/10/2014 18.00,"1,4","23,5","44,1","39,8"
16/10/2014 19.00,"2,5","34,5","60,3","39,8"
16/10/2014 20.00,"2,1","49,0","83,6","39,8"
16/10/2014 21.00,"2,3","49,2","85,5","39,8"
16/10/2014 22.00,"1,5","48,5","82,7","39,8"
16/10/2014 23.00,"1,5","36,7","61,4","39,8"
17/10/2014 0.00,"1,5","30,9","49,8","39,8"
17/10/2014 1.00,,"32,9","53,7","22,0"
17/10/2014 2.00,"1,5",,,"22,0"
17/10/2014 3.00,"1,5","31,2","47,7","22,0"
17/10/2014 4.00,"1,5","28,7","45,9","22,0"
17/10/2014 5.00,"1,4","20,7","37,1","22,0"
17/10/2014 6.00,"1,5","13,9","29,9","22,0"
17/10/2014 7.00,"1,3","13,5","30,6","22,0"
17/10/2014 8.00,"1,4","19,2","36,8","22,0"
17/10/2014 9.00,"1,5","32,7","62,1","22,0"
17/10/2014 10.00,,,,"22,0"
17/10/2014 11.00,,,,"22,0"
17/10/2014 12.00,,,,"22,0"
17/10/2014 13.00,,,,"22,0"
17/10/2014 14.00,"1,2","103,8","119,4","22,0"
17/10/2014 15.00,"0,6","41,5","58,1","22,0"
17/10/2014 16.00,"1,5","26,3","42,4","22,0"
17/10/2014 17.00,"1,4","19,1","35,1","22,0"
17/10/2014 18.00,"2,2","25,1","46,7","22,0"
17/10/2014 19.00,"2,0","32,0","56,0","22,0"
17/10/2014 20.00,"1,6","36,2","64,0","22,0"
17/10/2014 21.00,"2,5","52,2","95,2","22,0"
17/10/2014 22.00,"1,8","41,7","73,2","22,0"
17/10/2014 23.00,"1,5","34,8","58,8","22,0"
18/10/2014 0.00,"1,5","26,8","44,8","22,0"
18/10/2014 1.00,"1,4","20,9","37,8","21,5"
18/10/2014 2.00,"1,4","15,4","31,5","21,5"
18/10/2014 3.00,"0,8","11,6","27,1","21,5"
18/10/2014 4.00,"1,1","6,7","22,0","21,5"
18/10/2014 5.00,"0,8","3,6","18,9","21,5"
18/10/2014 6.00,"1,0","3,0","18,0","21,5"
18/10/2014 7.00,"1,4","4,1","19,2","21,5"
18/10/2014 8.00,"1,1","9,0","24,5","21,5"
18/10/2014 9.00,"0,9","18,6","37,0","21,5"
18/10/2014 10.00,"1,4","28,3","56,2","21,5"
18/10/2014 11.00,"1,4","30,4","55,8","21,5"
18/10/2014 12.00,"0,6","27,6","48,4","21,5"
18/10/2014 13.00,"0,4","19,4","39,7","21,5"
18/10/2014 14.00,"0,6","17,2","36,1","21,5"
18/10/2014 15.00,"1,1","18,0","34,7","21,5"
18/10/2014 16.00,"0,9","7,8","23,8","21,5"
18/10/2014 17.00,"0,8","8,0","23,5","21,5"
18/10/2014 18.00,"0,3","6,6","22,7","21,5"
18/10/2014 19.00,"0,5","9,0","25,4","21,5"
18/10/2014 20.00,"0,8","17,9","35,0","21,5"
18/10/2014 21.00,"0,5","21,1","37,8","21,5"
18/10/2014 22.00,"0,4","24,2","41,4","21,5"
18/10/2014 23.00,"0,9","27,6","44,7","21,5"
19/10/2014 0.00,"0,3","31,1","49,0","21,5"
19/10/2014 1.00,,"27,4","44,6","22,5"
19/10/2014 2.00,"0,3",,,"22,5"
19/10/2014 3.00,"0,1","26,9","42,9","22,5"
19/10/2014 4.00,"0,1","11,4","27,1","22,5"
19/10/2014 5.00,"0,1","9,1","24,8","22,5"
19/10/2014 6.00,"0,2","7,3","23,0","22,5"
19/10/2014 7.00,"0,1","6,3","22,1","22,5"
19/10/2014 8.00,"0,2","7,5","23,2","22,5"
19/10/2014 9.00,"0,1","9,3","25,1","22,5"
19/10/2014 10.00,"0,1","11,8","28,0","22,5"
19/10/2014 11.00,"0,1","14,4","30,7","22,5"
19/10/2014 12.00,"0,2","13,7","29,6","22,5"
19/10/2014 13.00,,"8,0","23,8","22,5"
19/10/2014 14.00,,"5,2","20,4","22,5"
19/10/2014 15.00,"0,5","5,3","20,6","22,5"
19/10/2014 16.00,"0,3","2,9","18,1","22,5"
19/10/2014 17.00,"0,3","2,2","17,4","22,5"
19/10/2014 18.00,"0,1","1,8","16,9","22,5"
19/10/2014 19.00,"0,3","6,5","22,1","22,5"
19/10/2014 20.00,"0,1","13,3","29,0","22,5"
19/10/2014 21.00,"0,1","23,5","40,3","22,5"
19/10/2014 22.00,"0,1","29,5","46,5","22,5"
19/10/2014 23.00,"0,1","28,6","46,4","22,5"
20/10/2014 0.00,"0,1","25,6","43,3","22,5"
20/10/2014 1.00,"0,1","20,9","37,8","22,1"
20/10/2014 2.00,"0,1","14,9","31,5","22,1"
20/10/2014 3.00,"0,1","10,2","26,6","22,1"
20/10/2014 4.00,"0,1","8,8","25,4","22,1"
20/10/2014 5.00,"0,1","6,5","22,6","22,1"
20/10/2014 6.00,"0,2","6,0","22,3","22,1"
20/10/2014 7.00,"0,1","7,3","23,8","22,1"
20/10/2014 8.00,"0,4","15,0","32,0","22,1"
20/10/2014 9.00,"1,0","28,6","54,1","22,1"
20/10/2014 10.00,"1,7","36,4","98,1","22,1"
20/10/2014 11.00,"1,7","39,8","107,2","22,1"
20/10/2014 12.00,"0,6","37,1","73,0","22,1"
20/10/2014 13.00,"0,6","26,6","47,2","22,1"
20/10/2014 14.00,"0,5","22,8","40,6","22,1"
20/10/2014 15.00,"1,2","21,3","38,3","22,1"
20/10/2014 16.00,"1,1","13,3","29,7","22,1"
20/10/2014 17.00,"0,3","9,8","25,5","22,1"
20/10/2014 18.00,"1,1","9,0","25,1","22,1"
20/10/2014 19.00,"1,2","13,5","29,8","22,1"
20/10/2014 20.00,"0,8","22,6","39,6","22,1"
20/10/2014 21.00,"0,7","38,3","59,3","22,1"
20/10/2014 22.00,"1,5","46,6","80,1","22,1"
20/10/2014 23.00,"1,3","41,1","73,4","22,1"
21/10/2014 0.00,"1,4","34,0","57,9","22,1"
21/10/2014 1.00,,"27,7","46,7",
21/10/2014 2.00,"1,2",,,
21/10/2014 3.00,"1,1","31,9","49,7",
21/10/2014 4.00,"1,2","22,6","40,7",
21/10/2014 5.00,"1,1","16,9","34,5",
21/10/2014 6.00,"1,0","13,2","30,6",
21/10/2014 7.00,"1,5","12,9","29,8",
21/10/2014 8.00,"1,3","18,2","37,0",
21/10/2014 9.00,"1,5","28,1","49,6",
21/10/2014 10.00,,,,
21/10/2014 11.00,,,,
21/10/2014 12.00,,,,
21/10/2014 13.00,"1,2",,,
21/10/2014 14.00,"1,2",,,
21/10/2014 15.00,"1,3",,,
21/10/2014 16.00,"1,5",,,
21/10/2014 17.00,"1,5",,,
21/10/2014 18.00,"1,5",,,
21/10/2014 19.00,"1,5",,,
21/10/2014 20.00,"2,0",,,
21/10/2014 21.00,"2,8",,,
21/10/2014 22.00,"2,6",,,
21/10/2014 23.00,"1,6",,,
22/10/2014 0.00,"1,6",,,
22/10/2014 1.00,"1,6",,,"16,9"
22/10/2014 2.00,"1,7",,,"16,9"
22/10/2014 3.00,"1,6",,,"16,9"
22/10/2014 4.00,"1,5",,,"16,9"
22/10/2014 5.00,"1,5",,,"16,9"
22/10/2014 6.00,"1,9",,,"16,9"
22/10/2014 7.00,"1,9",,,"16,9"
22/10/2014 8.00,"1,9",,,"16,9"
22/10/2014 9.00,"2,2",,,"16,9"
22/10/2014 10.00,"2,5",,,"16,9"
22/10/2014 11.00,,,,"16,9"
22/10/2014 12.00,"2,9","35,6","44,6","16,9"
22/10/2014 13.00,"2,5","32,7","44,4","16,9"
22/10/2014 14.00,"2,9","32,7","44,1","16,9"
22/10/2014 15.00,"2,2","18,3","21,7","16,9"
22/10/2014 16.00,"2,1","6,9","9,5","16,9"
22/10/2014 17.00,"1,7","8,0","11,1","16,9"
22/10/2014 18.00,"2,5","18,1","22,5","16,9"
22/10/2014 19.00,"1,8","27,5","34,6","16,9"
22/10/2014 20.00,"1,9","34,5","46,0","16,9"
22/10/2014 21.00,"1,6","35,3","45,7","16,9"
22/10/2014 22.00,"1,6","29,9","37,7","16,9"
22/10/2014 23.00,"1,6","12,9","17,2","16,9"
23/10/2014 0.00,"1,6","4,6","7,6","16,9"
23/10/2014 1.00,,"7,0","9,9","6,2"
23/10/2014 2.00,"1,5",,,"6,2"
23/10/2014 3.00,"1,7","17,3","20,0","6,2"
23/10/2014 4.00,"1,5","8,1","10,5","6,2"
23/10/2014 5.00,"1,5","4,6","7,3","6,2"
23/10/2014 6.00,"1,5","3,2","5,6","6,2"
23/10/2014 7.00,"1,5","3,4","5,8","6,2"
23/10/2014 8.00,"1,5","7,1","9,5","6,2"
23/10/2014 9.00,"1,6","14,4","17,4","6,2"
23/10/2014 10.00,"1,7","25,3","29,5","6,2"
23/10/2014 11.00,"1,9","32,6","37,8","6,2"
23/10/2014 12.00,"2,0","37,6","44,7","6,2"
23/10/2014 13.00,"1,8","39,7","47,4","6,2"
23/10/2014 14.00,"1,8","38,7","45,4","6,2"
23/10/2014 15.00,"1,6","37,9","44,2","6,2"
23/10/2014 16.00,"1,5","26,9","31,0","6,2"
23/10/2014 17.00,"1,5","20,7","24,8","6,2"
23/10/2014 18.00,"1,7","23,1","27,8","6,2"
23/10/2014 19.00,"1,6","31,8","38,6","6,2"
23/10/2014 20.00,"1,6","38,3","48,3","6,2"
23/10/2014 21.00,"2,4","41,6","55,5","6,2"
23/10/2014 22.00,"2,1","39,4","51,3","6,2"
23/10/2014 23.00,"2,1","37,4","47,2","6,2"
24/10/2014 0.00,"1,5","30,7","36,4","6,2"
24/10/2014 1.00,"1,5","20,8","25,2","8,9"
24/10/2014 2.00,"1,5","14,4","17,9","8,9"
24/10/2014 3.00,"1,5","9,2","12,2","8,9"
24/10/2014 4.00,"1,5","4,1","7,0","8,9"
24/10/2014 5.00,"1,5","2,0","4,7","8,9"
24/10/2014 6.00,"1,5","1,5","4,2","8,9"
24/10/2014 7.00,"1,5","3,3","6,4","8,9"
24/10/2014 8.00,"1,5","7,9","10,8","8,9"
24/10/2014 9.00,"1,5","16,6","21,6","8,9"
24/10/2014 10.00,"1,5","28,7","41,4","8,9"
24/10/2014 11.00,"1,4","27,3","32,4","8,9"
24/10/2014 12.00,"1,5","16,6","20,4","8,9"
24/10/2014 13.00,"1,5","15,1","18,9","8,9"
24/10/2014 14.00,"1,5","20,0","24,4","8,9"
24/10/2014 15.00,"1,5","19,6","23,4","8,9"
24/10/2014 16.00,"1,5","12,1","15,4","8,9"
24/10/2014 17.00,"1,5","8,2","11,0","8,9"
24/10/2014 18.00,"1,5","10,8","14,1","8,9"
24/10/2014 19.00,"1,5","14,4","17,5","8,9"
24/10/2014 20.00,"1,5","17,7","21,4","8,9"
24/10/2014 21.00,"1,5","23,8","27,9","8,9"
24/10/2014 22.00,"1,5","28,6","34,5","8,9"
24/10/2014 23.00,"1,4","31,8","41,0","8,9"
25/10/2014 0.00,"1,4","25,7","31,3","8,9"
25/10/2014 1.00,,"17,6","21,5","18,6"
25/10/2014 2.00,"1,4",,,"18,6"
25/10/2014 3.00,"1,5","31,1","34,5","18,6"
25/10/2014 4.00,"1,3","14,7","17,8","18,6"
25/10/2014 5.00,"1,3","9,2","12,4","18,6"
25/10/2014 6.00,"1,1","7,5","10,4","18,6"
25/10/2014 7.00,"1,0","7,7","11,2","18,6"
25/10/2014 8.00,"0,6","10,3","14,1","18,6"
25/10/2014 9.00,"1,2","15,2","20,3","18,6"
25/10/2014 10.00,"1,3","21,8","32,0","18,6"
25/10/2014 11.00,"1,5","25,6","41,1","18,6"
25/10/2014 12.00,"1,5","28,0","47,4","18,6"
25/10/2014 13.00,"1,5","29,8","51,9","18,6"
25/10/2014 14.00,"1,4","31,9","44,2","18,6"
25/10/2014 15.00,"1,3","25,0","29,7","18,6"
25/10/2014 16.00,"1,4","11,7","14,9","18,6"
25/10/2014 17.00,"1,0","6,9","9,7","18,6"
25/10/2014 18.00,"1,4","6,9","10,0","18,6"
25/10/2014 19.00,"0,6","10,7","13,5","18,6"
25/10/2014 20.00,"1,1","12,5","15,8","18,6"
25/10/2014 21.00,"1,1","14,3","17,7","18,6"
25/10/2014 22.00,"1,1","18,8","22,4","18,6"
25/10/2014 23.00,"0,9","31,9","36,7","18,6"
26/10/2014 0.00,"1,1","26,8","30,8","18,6"
26/10/2014 1.00,"0,9","21,7","25,2","19,2"
26/10/2014 2.00,"1,3","17,6","21,3","19,2"
26/10/2014 3.00,"0,4","14,9","18,1","19,2"
26/10/2014 4.00,"0,8","10,7","13,9","19,2"
