,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



21/01/2010 23.00,"2,01196","8,338828","1,567201",
22/01/2010 0.00,"2,129355","17,248713","1,805276","16,11721"
22/01/2010 1.00,"3,442366","20,506371","1,733061",
22/01/2010 2.00,"3,697022","27,20598","2,547719","22,954821"
22/01/2010 3.00,,"20,544","1,825481",
22/01/2010 4.00,"4,063654","34,732338","2,190507","40,04884"
22/01/2010 5.00,"4,339982","22,307819","2,286083",
22/01/2010 6.00,"5,36041","41,431948","2,349145","41,514042"
22/01/2010 7.00,"8,808195","47,910932","2,225904",
22/01/2010 8.00,"8,820838","41,028326","1,954207","34,18803"
22/01/2010 9.00,"11,562446","44,566329","2,325783",
22/01/2010 10.00,"12,788765","38,770025","2,424873","47,37484"
22/01/2010 11.00,"14,560521","37,021787","2,449261",
22/01/2010 12.00,"14,878384","28,51813","2,43608","55,67765"
22/01/2010 13.00,"15,378667","33,391646","2,5931",
22/01/2010 14.00,"13,955487","30,853008","2,244334","68,864471"
22/01/2010 15.00,"16,924659","36,162592","2,43758",
22/01/2010 16.00,"15,956608","34,925719","2,375427","79,609283"
22/01/2010 17.00,"16,796437","43,19837","2,373138",
22/01/2010 18.00,"13,236672","41,900503","2,286873","80,586082"
