TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
11/01/2011 12.00,"0,400202","32,209282",33,"23,6","1,791089"
11/01/2011 13.00,"0,318348","40,346945",33,"23,6","1,417184"
11/01/2011 14.00,"0,340823","38,98807",33,"23,6","1,758538"
11/01/2011 15.00,"0,486494","41,727868",33,"23,6","2,256402"
11/01/2011 16.00,"0,381272","25,568067",33,"23,6","1,523421"
11/01/2011 17.00,"0,355066","40,971213",33,"23,6","1,304511"
11/01/2011 18.00,"0,419254","61,471107",33,"23,6","1,965122"
11/01/2011 19.00,"0,479527","64,497745",33,"23,6","2,670333"
11/01/2011 20.00,"0,495958","77,497221",33,"23,6","2,521892"
11/01/2011 21.00,"0,699589","87,181943",33,"23,6","3,673434"
11/01/2011 22.00,"1,116408","93,793311",33,"23,6","4,307843"
11/01/2011 23.00,"0,764055","77,494639",33,"23,6","3,311263"
12/01/2011 0.00,"0,675542","70,69249",33,"23,6","2,912886"
12/01/2011 1.00,,"51,005066","24,79999","14,9","2,585141"
12/01/2011 2.00,"0,483806",,"24,79999","14,9","2,159731"
12/01/2011 3.00,"0,459227","63,218364","24,79999","14,9","1,962511"
12/01/2011 4.00,"0,39369","35,691474","24,79999","14,9",
12/01/2011 5.00,"0,361915","22,916524","24,79999","14,9","1,039589"
12/01/2011 6.00,"0,521222","30,461046","24,79999","14,9","0,913253"
12/01/2011 7.00,"0,569485","44,417078","24,79999","14,9","1,139105"
12/01/2011 8.00,"1,007679","67,867012","24,79999","14,9","1,629589"
12/01/2011 9.00,"1,38223","90,935405","24,79999","14,9","4,897946"
12/01/2011 10.00,"1,586842","115,491065","24,79999","14,9","6,590649"
12/01/2011 11.00,"0,837369","98,993873","24,79999","14,9","4,984693"
12/01/2011 12.00,"0,754218","73,537412","24,79999","14,9","3,650569"
12/01/2011 13.00,"0,776902","65,760577","24,79999","14,9","2,831865"
12/01/2011 14.00,"0,712735","67,799538","24,79999","14,9","3,072574"
12/01/2011 15.00,"0,66025","42,105547","24,79999","14,9","2,268818"
12/01/2011 16.00,"0,595435","38,010769","24,79999","14,9","1,791851"
12/01/2011 17.00,"0,577037","37,481242","24,79999","14,9","1,611702"
12/01/2011 18.00,"0,565448","55,644954","24,79999","14,9","1,452768"
12/01/2011 19.00,"0,610691","68,340731","24,79999","14,9","1,698744"
12/01/2011 20.00,"0,718067","68,51206","24,79999","14,9","1,772726"
12/01/2011 21.00,"0,580704","52,88827","24,79999","14,9","2,204973"
12/01/2011 22.00,"0,542549","67,336184","24,79999","14,9","2,334898"
12/01/2011 23.00,"0,748578","55,04923","24,79999","14,9","2,455039"
13/01/2011 0.00,"0,64299","35,525342","24,79999","14,9","1,829663"
13/01/2011 1.00,"0,684844","42,912832","27,700001","15,7","2,218964"
13/01/2011 2.00,"0,730426","45,412522","27,700001","15,7","2,094009"
13/01/2011 3.00,"0,674087","37,295643","27,700001","15,7","1,875636"
13/01/2011 4.00,"0,670975","21,494053","27,700001","15,7","1,80128"
13/01/2011 5.00,"0,52418","11,874229","27,700001","15,7","1,418669"
13/01/2011 6.00,"0,553367","13,077355","27,700001","15,7","1,115944"
13/01/2011 7.00,"0,69563","17,526455","27,700001","15,7","1,07668"
13/01/2011 8.00,"0,725617","24,473962","27,700001","15,7","1,249017"
13/01/2011 9.00,"0,517647","44,655866","27,700001","15,7","1,471042"
13/01/2011 10.00,"0,736959","53,487893","27,700001","15,7","2,429021"
13/01/2011 11.00,"0,662036","46,03551","27,700001","15,7","3,024196"
13/01/2011 12.00,"0,625768","45,144402","27,700001","15,7","2,753159"
13/01/2011 13.00,"0,59525","44,407975","27,700001","15,7","2,354797"
13/01/2011 14.00,"0,72158","45,54491","27,700001","15,7","2,34871"
13/01/2011 15.00,"0,710979","44,13154","27,700001","15,7","2,860992"
13/01/2011 16.00,"0,464267","38,283323","27,700001","15,7","1,707848"
13/01/2011 17.00,"0,488029","47,656561","27,700001","15,7","1,867533"
13/01/2011 18.00,"0,663855","86,626462","27,700001","15,7","2,200883"
13/01/2011 19.00,"0,614636","91,980177","27,700001","15,7","2,388396"
13/01/2011 20.00,"0,847786","93,515574","27,700001","15,7","3,167189"
13/01/2011 21.00,"1,301514","100,862818","27,700001","15,7","3,504138"
13/01/2011 22.00,"2,597911","127,737867","27,700001","15,7","7,132512"
13/01/2011 23.00,"1,751635","103,397554","27,700001","15,7","6,417225"
14/01/2011 0.00,"1,334983","86,636848","27,700001","15,7","3,394567"
14/01/2011 1.00,,"72,382316","52,099991","33,599991","3,262664"
14/01/2011 2.00,"0,731195",,"52,099991","33,599991","3,435982"
14/01/2011 3.00,"0,507027","70,609166","52,099991","33,599991","1,922779"
14/01/2011 4.00,"0,476974","61,87345","52,099991","33,599991",
14/01/2011 5.00,"0,493633","47,381406","52,099991","33,599991","2,174111"
14/01/2011 6.00,"0,621979","49,574811","52,099991","33,599991","2,101576"
14/01/2011 7.00,"0,75526","49,35677","52,099991","33,599991","1,936855"
14/01/2011 8.00,"1,326641","65,036356","52,099991","33,599991","2,616916"
14/01/2011 9.00,"3,243174","114,56828","52,099991","33,599991","6,213259"
14/01/2011 10.00,"3,791108","132,983788","52,099991","33,599991","15,941362"
14/01/2011 11.00,"1,515456","101,851742","52,099991","33,599991","5,93633"
14/01/2011 12.00,"1,675269","106,191866","52,099991","33,599991","6,770451"
14/01/2011 13.00,"0,928648","61,759223","52,099991","33,599991","3,304152"
14/01/2011 14.00,"0,591743","57,124536","52,099991","33,599991","2,888332"
14/01/2011 15.00,"0,596063","59,194638","52,099991","33,599991","3,147182"
14/01/2011 16.00,"0,630617","62,761188","52,099991","33,599991","2,157911"
14/01/2011 17.00,"0,588042","88,975603","52,099991","33,599991","2,842411"
14/01/2011 18.00,"1,274192","118,99668","52,099991","33,599991","4,79301"
14/01/2011 19.00,"1,55001","110,190623","52,099991","33,599991","4,452366"
14/01/2011 20.00,"3,333879","161,054194","52,099991","33,599991","10,21725"
14/01/2011 21.00,"3,098787","148,662138","52,099991","33,599991","10,60854"
14/01/2011 22.00,"3,57391","152,562226","52,099991","33,599991","12,920211"
14/01/2011 23.00,"2,937121","130,96689","52,099991","33,599991","10,044389"
15/01/2011 0.00,"1,651822","103,464992","52,099991","33,599991","6,869911"
15/01/2011 1.00,"1,110059","94,383853","38,400002","26,1","3,893343"
15/01/2011 2.00,"1,140294","86,879553","38,400002","26,1","3,580562"
15/01/2011 3.00,"0,736748","68,347229","38,400002","26,1","2,913407"
15/01/2011 4.00,"0,944075","61,885127","38,400002","26,1","2,769643"
15/01/2011 5.00,"0,796602","48,809075","38,400002","26,1","2,367183"
15/01/2011 6.00,"0,753409","40,633766","38,400002","26,1","1,777034"
15/01/2011 7.00,"0,882987","53,541104","38,400002","26,1","1,858794"
15/01/2011 8.00,"1,066865","68,208357","38,400002","26,1","2,163329"
15/01/2011 9.00,"1,759805","93,807592","38,400002","26,1","5,297319"
15/01/2011 10.00,"1,509902","86,853595","38,400002","26,1","7,536326"
15/01/2011 11.00,"0,94716","74,709393","38,400002","26,1","4,023717"
15/01/2011 12.00,"0,746004","46,805145","38,400002","26,1","3,109131"
15/01/2011 13.00,"1,050206","73,742489","38,400002","26,1","3,104442"
15/01/2011 14.00,"0,624446","53,485293","38,400002","26,1","3,142859"
15/01/2011 15.00,"0,587424","36,406599","38,400002","26,1","2,407349"
15/01/2011 16.00,"0,360353","30,545403","38,400002","26,1","1,809763"
15/01/2011 17.00,"0,368991","24,000226","38,400002","26,1","1,374594"
15/01/2011 18.00,"0,33999","32,602526","38,400002","26,1","1,36094"
15/01/2011 19.00,"0,296797","48,112096","38,400002","26,1","1,64065"
15/01/2011 20.00,"0,459696","58,295215","38,400002","26,1","2,415098"
15/01/2011 21.00,"0,513379","53,526819","38,400002","26,1","1,822378"
15/01/2011 22.00,"0,47759","61,045396","38,400002","26,1","2,024008"
15/01/2011 23.00,"0,497336","39,132121","38,400002","26,1","2,110369"
16/01/2011 0.00,"0,476357","30,789414","38,400002","26,1","1,49155"
16/01/2011 1.00,,"19,979423","20,6","13,8","1,478775"
16/01/2011 2.00,"0,4238",,"20,6","13,8","1,056819"
16/01/2011 3.00,"0,366954","28,019651","20,6","13,8","1,132024"
16/01/2011 4.00,"0,351413","19,963861","20,6","13,8",
16/01/2011 5.00,"0,356981","16,7737","20,6","13,8","1,086447"
16/01/2011 6.00,"0,340277","15,780826","20,6","13,8","1,029539"
16/01/2011 7.00,"0,299443","15,249987","20,6","13,8","1,034283"
16/01/2011 8.00,"0,316767","15,583543","20,6","13,8","1,034128"
16/01/2011 9.00,"0,288307","15,849608","20,6","13,8","1,059036"
16/01/2011 10.00,"0,291401","16,266226","20,6","13,8","1,14525"
16/01/2011 11.00,"0,345845","17,522569","20,6","13,8","1,351346"
16/01/2011 12.00,"0,223964","20,608894","20,6","13,8","1,667537"
16/01/2011 13.00,"0,23077","23,065775","20,6","13,8","1,81042"
16/01/2011 14.00,"0,290163","23,764017","20,6","13,8","1,546915"
